name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Hoba,11890,Valid,"Iron, IVB",60000000,Found,1/1/1920 0:00,-19.58333,17.91667,"(-19.58333, 17.91667)"
Cape York,5262,Valid,"Iron, IIIAB",58200000,Found,01/01/1818 12:00:00 AM,76.13333,-64.93333,"(76.13333, -64.93333)"
Campo del Cielo,5247,Valid,"Iron, IAB-MG",50000000,Found,12/22/1575 12:00:00 AM,-27.46667,-60.58333,"(-27.46667, -60.58333)"
Canyon Diablo,5257,Valid,"Iron, IAB-MG",30000000,Found,01/01/1891 12:00:00 AM,35.05,-111.03333,"(35.05, -111.03333)"
Armanty,2335,Valid,"Iron, IIIE",28000000,Found,01/01/1898 12:00:00 AM,47,88,"(47.0, 88.0)"
Gibeon,10912,Valid,"Iron, IVA",26000000,Found,01/01/1836 12:00:00 AM,-25.5,18,"(-25.5, 18.0)"
Chupaderos,5363,Valid,"Iron, IIIAB",24300000,Found,01/01/1852 12:00:00 AM,27,-105.1,"(27.0, -105.1)"
Mundrabilla,16852,Valid,"Iron, IAB-ung",24000000,Found,1/1/1911 0:00,-30.78333,127.55,"(-30.78333, 127.55)"
Sikhote-Alin,23593,Valid,"Iron, IIAB",23000000,Fell,1/1/1947 0:00,46.16,134.65333,"(46.16, 134.65333)"
Bacubirito,4919,Valid,"Iron, ungrouped",22000000,Found,01/01/1863 12:00:00 AM,26.2,-107.83333,"(26.2, -107.83333)"
Mbosi,15456,Valid,"Iron, ungrouped",16000000,Found,1/1/1930 0:00,-9.11667,33.06667,"(-9.11667, 33.06667)"
Willamette,24269,Valid,"Iron, IIIAB",15500000,Found,1/1/1902 0:00,45.36667,-122.58333,"(45.36667, -122.58333)"
Morito,16745,Valid,"Iron, IIIAB",10100000,Found,01/01/1600 12:00:00 AM,27.05,-105.43333,"(27.05, -105.43333)"
Nantan,16906,Valid,"Iron, IAB-MG",9500000,Found,1/1/1958 0:00,25.1,107.7,"(25.1, 107.7)"
Cranbourne,5463,Valid,"Iron, IAB-MG",8600000,Found,01/01/1854 12:00:00 AM,-38.1,145.3,"(-38.1, 145.3)"
Santa Catharina,23162,Valid,"Iron, IAB-ung",7000000,Found,01/01/1875 12:00:00 AM,-26.21667,-48.6,"(-26.21667, -48.6)"
Bendegó,5015,Valid,"Iron, IC",5360000,Found,01/01/1784 12:00:00 AM,-10.11667,-39.2,"(-10.11667, -39.2)"
Brenham,5136,Valid,"Pallasite, PMG-an",4300000,Found,01/01/1882 12:00:00 AM,37.5825,-99.16361,"(37.5825, -99.16361)"
Jilin,12171,Valid,H5,4000000,Fell,1/1/1976 0:00,44.05,126.16667,"(44.05, 126.16667)"
Vaca Muerta,24142,Valid,Mesosiderite-A1,3828000,Found,01/01/1861 12:00:00 AM,-25.75,-70.5,"(-25.75, -70.5)"
Youndegin,30374,Valid,"Iron, IAB-MG",3800000,Found,01/01/1884 12:00:00 AM,-32.1,117.71667,"(-32.1, 117.71667)"
Al Haggounia 001,44857,Valid,Aubrite,3000000,Found,1/1/2006 0:00,27.5,-12.5,"(27.5, -12.5)"
Toluca,24018,Valid,"Iron, IAB-sLL",3000000,Found,01/01/1776 12:00:00 AM,19.56667,-99.56667,"(19.56667, -99.56667)"
Xifu,54608,Valid,"Iron, IAB complex",3000000,Found,1/1/2004 0:00,36.3,120.48333,"(36.3, 120.48333)"
Yingde,30363,Valid,"Iron, IVA",3000000,Found,1/1/1964 0:00,24.2,113.4,"(24.2, 113.4)"
Old Woman,18007,Valid,"Iron, IIAB",2753000,Found,1/1/1976 0:00,34.46667,-115.23333,"(34.46667, -115.23333)"
Wabar,24194,Valid,"Iron, IIIAB",2550000,Found,01/01/1863 12:00:00 AM,21.49972,50.47222,"(21.49972, 50.47222)"
Huckitta,11922,Valid,"Pallasite, PMG-an",2300000,Found,1/1/1924 0:00,-22.36667,135.76667,"(-22.36667, 135.76667)"
Navajo,16926,Valid,"Iron, IIAB",2184000,Found,1/1/1921 0:00,35.33333,-109.5,"(35.33333, -109.5)"
Coahuila,5387,Valid,"Iron, IIAB",2100000,Found,01/01/1837 12:00:00 AM,28.7,-102.73333,"(28.7, -102.73333)"
Allende,2278,Valid,CV3,2000000,Fell,1/1/1969 0:00,26.96667,-105.31667,"(26.96667, -105.31667)"
Campinorte,52093,Valid,"Iron, ungrouped",2000000,Found,1/1/1992 0:00,-14.258,-49.15917,"(-14.258, -49.15917)"
Henbury,11872,Valid,"Iron, IIIAB",2000000,Found,1/1/1931 0:00,-24.56667,133.16667,"(-24.56667, 133.16667)"
Zhaoping,54609,Valid,"Iron, IAB complex",2000000,Found,1/1/1983 0:00,24.23333,111.18333,"(24.23333, 111.18333)"
Santa Luzia,23166,Valid,"Iron, IIAB",1918000,Found,1/1/1921 0:00,-16.26667,-47.95,"(-16.26667, -47.95)"
Ghubara,10911,Valid,L5,1750000,Found,1/1/1954 0:00,19.22778,56.14278,"(19.22778, 56.14278)"
Gebel Kamil,52031,Valid,"Iron, ungrouped",1600000,Found,1/1/2009 0:00,22.01833,26.08778,"(22.01833, 26.08778)"
Odessa (iron),17985,Valid,"Iron, IAB-MG",1600000,Found,1/1/1922 0:00,31.71667,-102.4,"(31.71667, -102.4)"
Casas Grandes,5285,Valid,"Iron, IIIAB",1545000,Found,01/01/1867 12:00:00 AM,30.4,-107.8,"(30.4, -107.8)"
Bitburg,5062,Valid,"Iron, IAB complex",1500000,Found,01/01/1805 12:00:00 AM,49.96667,6.53333,"(49.96667, 6.53333)"
Quinn Canyon,22364,Valid,"Iron, IIIAB",1450000,Found,1/1/1908 0:00,38.08333,-115.53333,"(38.08333, -115.53333)"
Charcas,5326,Valid,"Iron, IIIAB",1400000,Found,01/01/1804 12:00:00 AM,23.08333,-101.01667,"(23.08333, -101.01667)"
Santa Apolonia,23160,Valid,"Iron, IIIAB",1316000,Found,01/01/1872 12:00:00 AM,19.21667,-98.3,"(19.21667, -98.3)"
Tsarev,24058,Valid,L5,1225300,Found,1/1/1968 0:00,48.7,45.7,"(48.7, 45.7)"
Alkhamasin,475,Valid,"Iron, IIAB",1200000,Found,1/1/1973 0:00,20.6,44.88333,"(20.6, 44.88333)"
Kouga Mountains,12352,Valid,"Iron, IIIAB",1173000,Found,1/1/1903 0:00,-33.61667,24,"(-33.61667, 24.0)"
Goose Lake,10947,Valid,"Iron, IAB-sLL",1169500,Found,1/1/1938 0:00,41.98,-120.54167,"(41.98, -120.54167)"
Murnpeowie,16878,Valid,"Iron, IC",1143000,Found,1/1/1909 0:00,-29.58333,139.9,"(-29.58333, 139.9)"
Kunya-Urgench,12379,Valid,H5,1100000,Fell,1/1/1998 0:00,42.25,59.2,"(42.25, 59.2)"
Norton County,17922,Valid,Aubrite,1100000,Fell,1/1/1948 0:00,39.68333,-99.86667,"(39.68333, -99.86667)"
Fukang,34491,Valid,"Pallasite, PMG",1003000,Found,1/1/2000 0:00,44.43333,87.63333,"(44.43333, 87.63333)"
Bilibino,5046,Valid,"Iron, IIAB",1000000,Found,1/1/1981 0:00,67.3,160.8,"(67.3, 160.8)"
Zacatecas (1792),30381,Valid,"Iron, ungrouped",1000000,Found,01/01/1792 12:00:00 AM,22.81667,-102.56667,"(22.81667, -102.56667)"
Los Sauces,14710,Valid,Iron,997000,Found,1/1/1937 0:00,-29.41667,-66.85,"(-29.41667, -66.85)"
Tucson,24061,Valid,"Iron, ungrouped",975000,Found,01/01/1850 12:00:00 AM,31.85,-110.96667,"(31.85, -110.96667)"
Cosby's Creek,5450,Valid,"Iron, IAB-MG",960000,Found,01/01/1837 12:00:00 AM,35.78333,-83.25,"(35.78333, -83.25)"
Imilac,12025,Valid,"Pallasite, PMG",920000,Found,01/01/1822 12:00:00 AM,-24.20333,-68.80667,"(-24.20333, -68.80667)"
Zhigansk,30405,Valid,"Iron, IIIAB",900000,Found,1/1/1966 0:00,68,128.3,"(68.0, 128.3)"
Bondoc,5103,Valid,Mesosiderite-B4,888600,Found,1/1/1956 0:00,13.51667,122.45,"(13.51667, 122.45)"
Santa Rosa,23167,Valid,"Iron, IC",825000,Found,01/01/1810 12:00:00 AM,5.91667,-73,"(5.91667, -73.0)"
Brahin,5130,Valid,"Pallasite, PMG",823000,Found,01/01/1810 12:00:00 AM,52.5,30.33333,"(52.5, 30.33333)"
Red River,22548,Valid,"Iron, IIIAB",800000,Found,01/01/1808 12:00:00 AM,32,-95,"(32.0, -95.0)"
Sardis,23177,Valid,"Iron, IAB complex",800000,Found,1/1/1940 0:00,32.94889,-81.865,"(32.94889, -81.865)"
Wolf Creek,24326,Valid,"Iron, IIIAB",760000,Found,1/1/1947 0:00,-19.3,127.76667,"(-19.3, 127.76667)"
Esquel,10054,Valid,"Pallasite, PMG",755000,Found,1/1/1951 0:00,-42.9,-71.33333,"(-42.9, -71.33333)"
Gladstone (iron),10920,Valid,"Iron, IAB-MG",736600,Found,1/1/1915 0:00,-23.9,151.3,"(-23.9, 151.3)"
Mount Dooling,16771,Valid,"Iron, IC",734000,Found,1/1/1909 0:00,-29.45,119.71667,"(-29.45, 119.71667)"
Krasnojarsk,12356,Valid,"Pallasite, PMG-an",700000,Found,01/01/1749 12:00:00 AM,54.9,91.8,"(54.9, 91.8)"
Plainview (1917),18841,Valid,H5,700000,Found,1/1/1917 0:00,34.11667,-101.78333,"(34.11667, -101.78333)"
Davis Mountains,6615,Valid,"Iron, IIIAB",689000,Found,1/1/1903 0:00,30.75,-104.25,"(30.75, -104.25)"
Arispe,2332,Valid,"Iron, IC",683000,Found,01/01/1896 12:00:00 AM,30.33333,-109.98333,"(30.33333, -109.98333)"
Zerhamra,30403,Valid,"Iron, IIIAB-an",630000,Found,1/1/1967 0:00,29.85861,-2.645,"(29.85861, -2.645)"
Itapuranga,12057,Valid,"Iron, IAB-MG",628000,Found,,-15.58333,-50.15,"(-15.58333, -50.15)"
La Caille,12393,Valid,"Iron, ungrouped",626000,Found,01/01/1828 12:00:00 AM,43.73333,6.78333,"(43.73333, 6.78333)"
Jianshi,12087,Valid,"Iron, IIIAB",600000,Fell,01/01/1890 12:00:00 AM,30.80833,109.5,"(30.80833, 109.5)"
Adzhi-Bogdo (iron),389,Valid,"Iron, IAB complex",582000,Found,1/1/1952 0:00,44.86667,95.41667,"(44.86667, 95.41667)"
Long Island,14694,Valid,L6,564000,Found,01/01/1891 12:00:00 AM,39.93333,-99.6,"(39.93333, -99.6)"
Jiddat al Harasis 073,12135,Valid,L6,550000,Found,1/1/2002 0:00,19.7,55.73333,"(19.7, 55.73333)"
Rateldraai,22397,Valid,"Iron, IIIAB",549000,Found,1/1/1909 0:00,-28.83333,21.13333,"(-28.83333, 21.13333)"
Drum Mountains,7733,Valid,"Iron, IIIAB",529000,Found,1/1/1944 0:00,39.5,-112.9,"(39.5, -112.9)"
Grant,10957,Valid,"Iron, IIIAB",525000,Found,1/1/1929 0:00,35.16667,-107.88333,"(35.16667, -107.88333)"
Tamentit,23798,Valid,"Iron, IIIAB",510000,Found,01/01/1864 12:00:00 AM,27.71667,-0.25,"(27.71667, -0.25)"
Trenton,24045,Valid,"Iron, IIIAB",505000,Found,01/01/1858 12:00:00 AM,43.36667,-88.13333,"(43.36667, -88.13333)"
Haig,11471,Valid,"Iron, IIIAB",503000,Found,1/1/1951 0:00,-31.38333,125.63333,"(-31.38333, 125.63333)"
Knyahinya,12335,Valid,L/LL5,500000,Fell,01/01/1866 12:00:00 AM,48.9,22.4,"(48.9, 22.4)"
Ochansk,17979,Valid,H4,500000,Fell,01/01/1887 12:00:00 AM,57.78333,55.26667,"(57.78333, 55.26667)"
Boxhole,5126,Valid,"Iron, IIIAB",500000,Found,1/1/1937 0:00,-22.61667,135.2,"(-22.61667, 135.2)"
El Timbu,7820,Valid,Iron,500000,Found,1/1/1942 0:00,-33.11667,-60.96667,"(-33.11667, -60.96667)"
Prambanan,18884,Valid,"Iron, ungrouped",500000,Found,01/01/1797 12:00:00 AM,-7.56667,110.83333,"(-7.56667, 110.83333)"
Wildara,24265,Valid,H5,500000,Found,1/1/1968 0:00,-28.23333,120.85,"(-28.23333, 120.85)"
Jepara,53840,Valid,"Pallasite, PMG",499500,Found,1/1/2008 0:00,-6.6,110.73333,"(-6.6, 110.73333)"
Saint-Aubin,23096,Valid,"Iron, IIIAB",472000,Found,1/1/1968 0:00,48.48333,3.58333,"(48.48333, 3.58333)"
Carbo,5266,Valid,"Iron, IID",454000,Found,1/1/1923 0:00,29.66667,-111.5,"(29.66667, -111.5)"
Etter,10062,Valid,L5,450000,Found,1/1/1965 0:00,35.98333,-101.9,"(35.98333, -101.9)"
Sayh al Uhaymir 001,23193,Valid,L5,450000,Found,1/1/2000 0:00,20.51667,56.66667,"(20.51667, 56.66667)"
Wallapai,24206,Valid,"Iron, IID",430000,Found,1/1/1927 0:00,35.8,-113.7,"(35.8, -113.7)"
Yanhuitlan,30349,Valid,"Iron, IVA",421000,Found,01/01/1825 12:00:00 AM,17.53333,-97.35,"(17.53333, -97.35)"
Paragould,18101,Valid,LL5,408000,Fell,1/1/1930 0:00,36.06667,-90.5,"(36.06667, -90.5)"
Allan Hills A76009,1316,Valid,L6,407000,Found,1/1/1976 0:00,-76.71667,159.66667,"(-76.71667, 159.66667)"
Augustinovka,4898,Valid,"Iron, IIIAB",400000,Found,01/01/1890 12:00:00 AM,48.06667,35.08333,"(48.06667, 35.08333)"
Pei Xian,18784,Valid,Iron,400000,Found,1/1/1917 0:00,34.7,117,"(34.7, 117.0)"
Mount Joy,16779,Valid,"Iron, IIAB",384000,Found,01/01/1887 12:00:00 AM,39.78333,-77.21667,"(39.78333, -77.21667)"
Mont Dieu,16722,Valid,"Iron, ungrouped",360000,Found,1/1/1994 0:00,49.55,4.86667,"(49.55, 4.86667)"
Hugoton,11984,Valid,H5,350000,Found,1/1/1927 0:00,37.2,-101.35,"(37.2, -101.35)"
Longtian,14696,Valid,"Iron, IIIAB",350000,Found,1/1/1991 0:00,27.35,108.5,"(27.35, 108.5)"
Kokstad,12341,Valid,"Iron, IIIE",341000,Found,01/01/1884 12:00:00 AM,-30.55,29.41667,"(-30.55, 29.41667)"
Bjurböle,5064,Valid,L/LL4,330000,Fell,01/01/1899 12:00:00 AM,60.4,25.8,"(60.4, 25.8)"
Millbillillie,16643,Valid,Eucrite-mmict,330000,Fell,1/1/1960 0:00,-26.45,120.36667,"(-26.45, 120.36667)"
Mount Edith,16773,Valid,"Iron, IIIAB",326000,Found,1/1/1913 0:00,-22.5,116.16667,"(-22.5, 116.16667)"
Sterlitamak,23724,Valid,"Iron, IIIAB",325000,Fell,1/1/1990 0:00,53.66667,55.98333,"(53.66667, 55.98333)"
Seymchan,23510,Valid,"Pallasite, PMG",323300,Found,1/1/1967 0:00,62.9,152.43333,"(62.9, 152.43333)"
Estherville,10059,Valid,Mesosiderite-A3/4,320000,Fell,01/01/1879 12:00:00 AM,43.41667,-94.83333,"(43.41667, -94.83333)"
Tamarugal,23794,Valid,"Iron, IIIAB",320000,Found,1/1/1903 0:00,-20.8,-69.66667,"(-20.8, -69.66667)"
Guffey,11441,Valid,"Iron, ungrouped",309000,Found,1/1/1907 0:00,38.76667,-105.51667,"(38.76667, -105.51667)"
Nova Petropolis,17928,Valid,"Iron, IIIAB",305000,Found,1/1/1967 0:00,-29.43333,-50.91667,"(-29.43333, -50.91667)"
Bruderheim,5156,Valid,L6,303000,Fell,1/1/1960 0:00,53.9,-112.88333,"(53.9, -112.88333)"
Gressk,11200,Valid,"Iron, IIAB",303000,Found,1/1/1955 0:00,53.23333,27.33333,"(53.23333, 27.33333)"
Mocs,16709,Valid,L5-6,300000,Fell,01/01/1882 12:00:00 AM,46.8,24.03333,"(46.8, 24.03333)"
Putinga,18905,Valid,L6,300000,Fell,1/1/1937 0:00,-29.03333,-53.05,"(-29.03333, -53.05)"
North Chile,17001,Valid,"Iron, IIAB",300000,Found,01/01/1875 12:00:00 AM,-23,-69,"(-23.0, -69.0)"
Tianlin,23983,Valid,"Iron, IAB complex",300000,Found,1/1/1956 0:00,24.3,106.1,"(24.3, 106.1)"
Morland,16746,Valid,H6,295000,Found,01/01/1890 12:00:00 AM,39.33333,-100.06667,"(39.33333, -100.06667)"
Bur-Abor,5166,Valid,"Iron, IIIAB",290000,Found,1/1/1997 0:00,3.98333,41.65,"(3.98333, 41.65)"
Estacado,10057,Valid,H6,290000,Found,01/01/1883 12:00:00 AM,33.9,-101.75,"(33.9, -101.75)"
Morasko,16741,Valid,"Iron, IAB-MG",290000,Found,1/1/1914 0:00,52.46667,16.9,"(52.46667, 16.9)"
Clovis (no. 1),5385,Valid,H3.6,283000,Found,1/1/1961 0:00,34.3,-103.13472,"(34.3, -103.13472)"
