State,2017,2018,2019,2020,2021
AL,1,1,1,1,1
AK,0.2,0.2,0.2,0.2,0.2
AZ,2,2,2.1,2.1,2.1
AR,0.5,0.5,0.5,0.5,0.5
CA,14.5,14.6,14.7,14.5,14.3
CO,2.1,2,2.1,2.1,2.1
CT,1.4,1.4,1.5,1.4,1.4
DE,0.4,0.4,0.5,0.5,0.5
DC,0.4,0.4,0.4,0.4,0.4
FL,7.1,7.3,7.3,7.6,7.7
GA,2.9,3.1,3.4,3.4,3.3
HI,0.6,0.6,0.6,0.5,0.5
ID,0.4,0.4,0.4,0.4,0.4
IL,4.3,4.2,4.2,4,4
IN,1.4,1.4,1.4,1.4,1.4
IA,0.8,0.7,0.7,0.7,0.7
KS,0.9,0.9,0.9,0.9,0.9
KY,0.9,0.9,0.9,0.9,0.9
LA,1,1.1,1.1,1,1
ME,0.4,0.4,0.4,0.4,0.4
MD,2.6,2.5,2.4,2.3,2.2
MA,2.7,2.7,2.8,2.8,2.7
MI,2.5,2.5,2.5,2.5,2.6
MN,1.6,1.6,1.6,1.6,1.6
MS,0.5,0.5,0.5,0.5,0.5
MO,1.4,1.4,1.4,1.4,1.4
MT,0.3,0.3,0.3,0.3,0.3
NE,0.5,0.5,0.5,0.5,0.5
NV,0.9,0.9,0.9,0.9,0.9
NH,0.5,0.5,0.4,0.5,0.5
NJ,3.8,3.6,3.6,3.6,3.5
NM,0.5,0.5,0.5,0.4,0.4
NY,8.5,8.5,8.5,8.3,8.2
NC,2.6,2.5,2.5,2.5,2.5
ND,0.2,0.2,0.2,0.2,0.2
OH,2.9,2.9,2.9,2.8,2.7
OK,0.8,0.8,0.7,0.7,0.8
OR,1.3,1.3,1.3,1.3,1.3
PA,3.8,3.8,3.6,3.5,3.5
RI,0.3,0.3,0.3,0.3,0.3
SC,1.2,1.2,1.2,1.3,1.3
SD,0.2,0.2,0.2,0.2,0.2
TN,1.6,1.6,1.6,1.6,1.6
TX,7.1,7.3,7.2,7.8,8.3
UT,0.8,0.9,0.9,0.9,0.9
VT,0.2,0.2,0.2,0.2,0.2
VA,2.8,2.8,2.7,2.7,2.6
WA,2.6,2.6,2.7,2.7,2.7
WV,0.3,0.3,0.3,0.3,0.3
WI,1.5,1.5,1.5,1.4,1.4
WY,0.2,0.2,0.2,0.1,0.2
